X,Class,nodc,naive,bye+prio,chain+prio
1,4g2,1,1.5176602223,2.4744930633,2.3226049274
2,4g8,1,1.5793845544,2.6597208887,2.5135885215
3,4g16,1,1.3138965765,2.3506064472,2.146133282
4,4g10,1,1.290312026,1.3377064183,1.3004711144
5,4g12,1,1.3455699365,1.372014763,1.3182760839
6,4g15,1,1.3024806391,1.325712544,1.301909117
7,4g23,1,1.5432674983,3.6212455075,3.5044158344
8,4g26,1,1.554008523,3.6348551828,3.028521574
9,4g4,1,1.4287016717,1.7943124737,1.7546272525
10,4g32,1,1.6263795019,2.1516155212,2.0638548439
11,4g6,1,1.0277659879,1.0421044381,1.0966342051
12,4g7,1,1.2062746899,1.2004434491,1.1980005568
13,4g21,1,1.9214867323,3.4755420352,3.0800528584
14,GEO,1,1.4189649825,2.0023268107,1.9049212253
